2019-02-07 15:05:32,027 - INFO - fastread - 229, 1300
2019-02-07 15:05:32,027 - INFO - fastread - 229, 1310
2019-02-07 15:05:32,027 - INFO - fastread - 229, 1320
2019-02-07 15:05:32,035 - INFO - fastread - 229, 1330
2019-02-07 15:05:32,037 - INFO - fastread - 229, 1340
2019-02-07 15:05:32,037 - INFO - fastread - 229, 1350
2019-02-07 15:05:32,037 - INFO - fastread - 229, 1360
2019-02-07 15:05:32,045 - INFO - fastread - 229, 1370
2019-02-07 15:05:32,047 - INFO - fastread - 229, 1380
2019-02-07 15:05:32,047 - INFO - fastread - 229, 1390
2019-02-07 15:05:32,047 - INFO - fastread - 229, 1400
2019-02-07 15:05:32,055 - INFO - fastread - 229, 1410
2019-02-07 15:05:32,057 - INFO - fastread - 229, 1420
2019-02-07 15:05:32,057 - INFO - fastread - 229, 1430
2019-02-07 15:05:32,057 - INFO - fastread - 229, 1440
2019-02-07 15:05:32,065 - INFO - fastread - 229, 1450
2019-02-07 15:05:32,067 - INFO - fastread - 229, 1460
2019-02-07 15:05:32,067 - INFO - fastread - 229, 1470
2019-02-07 15:05:32,067 - INFO - fastread - 229, 1480
2019-02-07 15:05:32,075 - INFO - fastread - 229, 1490
2019-02-07 15:05:32,077 - INFO - fastread - 229, 1500
2019-02-07 15:05:32,077 - INFO - fastread - 229, 1510
2019-02-07 15:05:32,077 - INFO - fastread - 229, 1520
2019-02-07 15:05:32,085 - INFO - fastread - 229, 1530
2019-02-07 15:05:32,087 - INFO - fastread - 229, 1540
2019-02-07 15:05:32,087 - INFO - fastread - 229, 1550
2019-02-07 15:05:32,087 - INFO - fastread - 229, 1560
2019-02-07 15:05:32,095 - INFO - fastread - 229, 1570
2019-02-07 15:05:32,097 - INFO - fastread - 229, 1580
2019-02-07 15:05:32,097 - INFO - fastread - 229, 1590
2019-02-07 15:05:32,097 - INFO - fastread - 229, 1600
2019-02-07 15:05:32,106 - INFO - fastread - 229, 1610
2019-02-07 15:05:32,108 - INFO - fastread - 229, 1620
2019-02-07 15:05:32,108 - INFO - fastread - 229, 1630
2019-02-07 15:05:32,108 - INFO - fastread - 229, 1640
2019-02-07 15:05:32,116 - INFO - fastread - 229, 1650
2019-02-07 15:05:32,118 - INFO - fastread - 229, 1660
2019-02-07 15:05:32,118 - INFO - fastread - 229, 1670
2019-02-07 15:05:32,118 - INFO - fastread - 229, 1680
2019-02-07 15:05:32,126 - INFO - fastread - 229, 1690
2019-02-07 15:05:32,129 - INFO - fastread - 229, 1700
2019-02-07 15:05:32,131 - INFO - fastread - 229, 1710
2019-02-07 15:05:32,135 - INFO - fastread - 229, 1720
2019-02-07 15:05:32,137 - INFO - fastread - 229, 1730
2019-02-07 15:05:32,140 - INFO - fastread - 229, 1740
2019-02-07 15:05:32,141 - INFO - fastread - 229, 1750
2019-02-07 15:05:32,141 - INFO - fastread - 229, 1760
2019-02-07 15:05:32,147 - INFO - fastread - 229, 1770
2019-02-07 15:05:32,149 - INFO - fastread - 229, 1780
2019-02-07 15:05:32,149 - INFO - fastread - 229, 1790
2019-02-07 15:05:32,149 - INFO - fastread - 229, 1800
2019-02-07 15:05:32,159 - INFO - fastread - 229, 1810
2019-02-07 15:05:32,159 - INFO - fastread - 229, 1820
